peaks,surface_conditions,date,jday,state,surface_index,Date_new
40,"jefferson, adams, madison",dry,2009-09-20,263,NH,1,2009-09-20
84,adams,snow snow,2008-10-24,298,NH,0,2008-10-24
209,"madison, adams, jefferson, washington",snow ice snow ice,2009-02-16,47,NH,0,2009-02-16
256,"madison, adams, adams",ice snow ice snow,2009-03-15,74,NH,0,2009-03-15
266,"madison, adams",dry wet wet mud,2009-10-23,296,NH,0,2009-10-23
375,"adams, madison",wet wet mud,2009-11-15,319,NH,0,2009-11-15
377,"madison, adams, jefferson, clay, washington, monroe",wet wet,2009-11-15,319,NH,1,2009-11-15
385,"jefferson, adams",dry ice,2009-11-18,322,NH,0,2009-11-18
388,"madison, adams",dry ice,2009-11-18,322,NH,0,2009-11-18
556,"madison, adams, jefferson",snow snow snow ice snow ice snow ice,2009-12-19,353,NH,0,2009-12-19
604,"adams, madison",snow snow,2009-12-26,360,NH,0,2009-12-26
640,"madison, adams",snow ice snow ice,2009-12-31,365,NH,0,2009-12-31
743,"madison, adams",snow snow,2010-01-14,14,NH,0,2010-01-14
781,"madison, adams",snow ice snow snow ice,2010-01-17,17,NH,0,2010-01-17
782,"madison, adams, sam adams",snow snow snow snow snow ice,2010-01-17,17,NH,0,2010-01-17
815,"adams, madison",snow snow snow ice,2010-01-22,22,NH,0,2010-01-22
826,"madison, adams, jefferson",snow snow snow,2010-01-23,23,NH,0,2010-01-23
827,"madison, adams",snow snow snow ice,2010-01-23,23,NH,0,2010-01-23
828,"madison, adams",snow snow snow ice,2010-01-23,23,NH,0,2010-01-23
1031,"adams, madison",snow,2010-02-13,44,NH,0,2010-02-13
1116,"madison, adams",snow snow snow,2010-02-22,53,NH,0,2010-02-22
1191,"madison, adams",snow snow,2010-03-05,64,NH,0,2010-03-05
1242,adams,snow,2010-03-10,69,NH,0,2010-03-10
1248,adams,snow,2010-03-10,69,NH,0,2010-03-10
1353,"jefferson, adams",snow snow snow ice snow ice snow,2010-03-19,78,NH,0,2010-03-19
1373,"madison, adams",snow ice,2010-03-27,86,NH,0,2010-03-27
1430,adams,wet snow snow ice snow,2010-04-04,94,NH,0,2010-04-04
1557,adams,dry snow wet snow snow ice,2010-04-22,112,NH,0,2010-04-22
1579,"adams, madison",dry wet wet mud snow ice snow snow,2010-04-24,114,NH,0,2010-04-24
1585,"adams, madison",dry wet wet mud snow snow ice snow snow ice snow ice,2010-04-24,114,NH,0,2010-04-24
1640,"adams, madison",dry snow mud snow ice slush snow,2010-05-01,121,NH,0,2010-05-01
1837,adams,snow ice,2010-05-22,142,NH,0,2010-05-22
1913,"jefferson, adams, madison",dry wet wet snow snow ice,2010-05-30,150,NH,0,2010-05-30
1976,"madison, adams",dry wet mud,2010-06-09,160,NH,0,2010-06-09
2026,adams,dry wet wet mud,2010-06-15,166,NH,0,2010-06-15
2065,"jefferson, adams",dry wet mud,2010-06-19,170,NH,0,2010-06-19
2067,"madison, adams, jefferson, clay, washington, monroe, eisenhower, pierce, jackson, webster",dry wet mud,2010-06-19,170,NH,0,2010-06-19
2088,"madison, adams, jefferson",dry wet mud,2010-06-22,173,NH,0,2010-06-22
2090,"jefferson, adams",wet wet,2010-06-23,174,NH,1,2010-06-23
2125,"jefferson, adams",dry wet wet mud,2010-06-27,178,NH,0,2010-06-27
2172,"adams, madison",dry wet mud,2010-07-03,184,NH,0,2010-07-03
2245,"madison, adams",dry wet mud,2010-07-13,194,NH,0,2010-07-13
2284,"jefferson, adams, madison",dry wet mud,2010-07-18,199,NH,0,2010-07-18
2290,"adams, sam adams, john quincy adams, adams , adams",dry wet mud,2010-07-17,198,NH,0,2010-07-17
2292,john quincy adams,dry wet wet mud,2010-07-18,199,NH,0,2010-07-18
2342,"adams, madison",dry wet,2010-07-27,208,NH,1,2010-07-27
2357,"adams, madison",dry,2010-07-30,211,NH,1,2010-07-30
2381,adams,dry,2010-08-01,213,NH,1,2010-08-01
2387,"jefferson, adams",dry wet,2010-07-30,211,NH,1,2010-07-30
2453,"jefferson, adams",dry wet wet,2010-08-13,225,NH,1,2010-08-13
2477,"adams, jefferson",dry wet wet,2010-08-15,227,NH,1,2010-08-15
2478,"jefferson, adams",dry,2010-08-13,225,NH,1,2010-08-13
2487,adams,dry wet wet,2010-08-15,227,NH,1,2010-08-15
2514,"adams, jefferson",dry,2010-08-21,233,NH,1,2010-08-21
